vin,year,make,model,trim,price,miles,cpo,dealer,city,state,zip,listing_url
5UX53DP01P9S95849,2023,BMW,X3,xDrive30i,35893,30571,True,Pacific BMW,Glendale,CA,,https://www.autolist.com/bmw-x3#vin=5UX53DP01P9S95849
5UX43DP00R9T76002,2024,BMW,X3,sDrive30i,34080,31844,True,BMW of Sherman Oaks,Van Nuys,CA,,https://www.lithia.com/catcher.esl?vin=5UX43DP00R9T76002&utm_source=autolist&utm_medium=referral&utm_campaign=vdp_deep_link
5UX43DP07P9T10608,2023,BMW,X3,sDrive30i,35085,28012,True,BMW of Sherman Oaks,Van Nuys,CA,,https://www.lithia.com/catcher.esl?vin=5UX43DP07P9T10608&utm_source=autolist&utm_medium=referral&utm_campaign=vdp_deep_link
5UX53DP08P9R66207,2023,BMW,X3,xDrive30i,35003,29997,True,Pacific BMW,Glendale,CA,,https://www.autolist.com/bmw-x3#vin=5UX53DP08P9R66207
5UX43DP02R9W38974,2024,BMW,X3,sDrive30i,28970,42033,True,New Century BMW,Alhambra,CA,,https://www.autolist.com/bmw-x3#vin=5UX43DP02R9W38974
5UX53GP0XS9Y54082,2025,BMW,X3,30 xDrive,39996,33484,True,Rusnak BMW,Westlake Village,CA,91362,https://www.autolist.com/bmw-x3#vin=5UX53GP0XS9Y54082
5UX43DP02P9S78165,2023,BMW,X3,sDrive30i,34996,27314,True,Rusnak BMW,Westlake Village,CA,91362,https://www.autolist.com/bmw-x3#vin=5UX43DP02P9S78165
5UX43DP08P9R66252,2023,BMW,X3,sDrive30i,34996,27112,True,Rusnak BMW,Westlake Village,CA,91362,https://www.autolist.com/bmw-x3#vin=5UX43DP08P9R66252
5UX53GP06T9221841,2026,BMW,X3,30 xDrive,48988,5860,True,BMW of Palm Springs,Palm Springs,CA,92264,https://www.autolist.com/bmw-x3#vin=5UX53GP06T9221841
5UX73GP04T9453153,2026,BMW,X3,M50 xDrive,61988,3641,True,BMW of Palm Springs,Palm Springs,CA,92264,https://www.autolist.com/bmw-x3#vin=5UX73GP04T9453153
5UX53GP05T9197340,2026,BMW,X3,30 xDrive,44885,5741,True,BMW of San Diego,San Diego,CA,92111,https://www.autolist.com/bmw-x3#vin=5UX53GP05T9197340
5UX53GP09T9224300,2026,BMW,X3,30 xDrive,44885,6769,True,BMW of San Diego,San Diego,CA,92111,https://www.autolist.com/bmw-x3#vin=5UX53GP09T9224300
5UX43DP02P9R59913,2023,BMW,X3,sDrive30i,32973,20176,True,Crevier BMW,Santa Ana,CA,92705,https://www.autolist.com/bmw-x3#vin=5UX43DP02P9R59913
5UX53DP02P9T36697,2023,BMW,X3,xDrive30i,39973,22053,True,Crevier BMW,Santa Ana,CA,92705,https://www.autolist.com/bmw-x3#vin=5UX53DP02P9T36697
5UX43DP03P9T21041,2023,BMW,X3,sDrive30i Sports Activity Vehicle,31411,37339,True,bob smith mini,Calabasas,CA,91302,https://bobsmithmini.com/inventory/Used-2023-BMW-X3-sDrive30i_Sports_Activity_Vehicle-5UX43DP03P9T21041
5UX53GP03T9453491,2026,BMW,X3,30 xDrive,49090,1609,True,BMW of Chula Vista,Chula Vista,CA,,https://www.autolist.com/bmw-x3#vin=5UX53GP03T9453491
5UX43DP04P9S74022,2023,BMW,X3,sDrive30i,37893,4539,True,Pacific BMW,Glendale,CA,,https://www.autolist.com/bmw-x3#vin=5UX43DP04P9S74022
5UX43DP07R9U04653,2024,BMW,X3,sDrive30i,38893,32362,True,Pacific BMW,Glendale,CA,,https://www.autolist.com/bmw-x3#vin=5UX43DP07R9U04653
